                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.20837,                0.19134,                0.93926,                 0.9612,                 0.9883,                0.99167,                0.95422,                0.27514,                0.25889,                 0.8354,              0.0002192,              0.0002192,              0.0002192
                    115,                 0.2072,                0.18601,                0.93433,                0.93976,                0.99713,                0.98457,                0.94976,                0.26961,                0.27041,                0.83578,             0.00021478,             0.00021478,             0.00021478
                    116,                0.20442,                0.19124,                0.93605,                 0.9574,                0.99976,                0.98919,                0.95571,                0.27122,                0.27047,                0.83639,             0.00021036,             0.00021036,             0.00021036
                    117,                0.21046,                0.19448,                0.94407,                0.93262,                0.99726,                0.99122,                0.95401,                0.29373,                0.27285,                0.85638,             0.00020594,             0.00020594,             0.00020594
                    118,                0.20156,                0.18221,                0.93652,                 0.9587,                0.99542,                0.99066,                0.95549,                 0.3055,                0.29207,                0.86874,             0.00020153,             0.00020153,             0.00020153
                    119,                0.21144,                0.18717,                0.93746,                0.95865,                0.99322,                0.98918,                0.96009,                0.29004,                0.28484,                0.84734,             0.00019711,             0.00019711,             0.00019711
                    120,                0.20553,                0.18617,                0.93791,                  0.957,                0.99441,                0.99174,                0.96255,                0.28469,                0.25991,                0.84545,             0.00019269,             0.00019269,             0.00019269
                    121,                0.20137,                0.17943,                0.93372,                0.95598,                0.98783,                0.99312,                0.96306,                0.27355,                0.25359,                0.82931,             0.00018827,             0.00018827,             0.00018827
                    122,                0.20248,                0.18533,                0.93927,                0.95367,                 0.9957,                0.99151,                0.95913,                0.28367,                0.27466,                0.84819,             0.00018385,             0.00018385,             0.00018385
                    123,                0.20232,                0.18548,                 0.9377,                0.95879,                0.99754,                0.99307,                0.96081,                0.29289,                 0.2691,                0.85803,             0.00017944,             0.00017944,             0.00017944
                    124,                0.19968,                0.18333,                0.93721,                0.95926,                0.99078,                0.99051,                0.95561,                0.28679,                0.26893,                0.84776,             0.00017502,             0.00017502,             0.00017502
                    125,                0.20059,                0.18455,                0.93605,                0.96159,                0.99461,                0.99274,                0.95326,                0.28822,                0.26553,                0.85198,              0.0001706,              0.0001706,              0.0001706
                    126,                0.19792,                0.17872,                0.93279,                 0.9596,                0.99363,                0.99267,                0.95558,                0.27496,                0.26381,                0.84228,             0.00016618,             0.00016618,             0.00016618
                    127,                0.19767,                0.17841,                0.93343,                0.96249,                0.98802,                0.99244,                0.95797,                0.27931,                0.25052,                0.84915,             0.00016177,             0.00016177,             0.00016177
                    128,                0.19539,                0.17756,                0.93392,                0.96005,                0.99891,                0.99205,                0.95819,                0.27688,                 0.2529,                0.84056,             0.00015735,             0.00015735,             0.00015735
                    129,                0.19515,                0.18304,                0.93115,                0.95996,                0.99246,                0.99276,                0.95394,                0.26982,                0.25372,                0.83369,             0.00015293,             0.00015293,             0.00015293
